Wavelength;Reflectance
890.492981;0
900.065979;0
909.638;0.381032
919.210999;0.351981
928.78302;0.347717
938.356018;0.350281
947.927979;0.339782
957.5;0.337135
967.072998;0.339368
976.64502;0.337014
986.218018;0.335525
995.789978;0.336045
1005.359985;0.337744
1014.940002;0.338235
1024.51001;0.338555
1034.079956;0.340462
1043.650024;0.341509
1053.22998;0.342736
1062.800049;0.343582
1072.369995;0.344607
1081.939941;0.346112
1091.52002;0.345558
1101.089966;0.343605
1110.660034;0.336907
1120.22998;0.345116
1129.810059;0.359114
1139.380005;0.349612
1148.949951;0.366462
1158.52002;0.361793
1168.099976;0.359005
1177.670044;0.359393
1187.23999;0.364333
1196.810059;0.363798
1206.390015;0.366137
1215.959961;0.367408
1225.530029;0.370878
1235.099976;0.369411
1244.680054;0.37301
1254.25;0.37242
1263.819946;0.376432
1273.390015;0.378303
1282.969971;0.380305
1292.540039;0.380237
1302.109985;0.381038
1311.680054;0.383974
1321.26001;0.383721
1330.829956;0.391633
1340.400024;0.370381
1349.969971;0.385123
1359.550049;0
1369.119995;0
1378.689941;0
1388.26001;0
1397.839966;0
1407.410034;0
1416.97998;0.437639
1426.550049;0.421345
1436.119995;0.431568
1445.699951;0.444739
1455.27002;0.41429
1464.839966;0.409637
1474.410034;0.434761
1483.98999;0.45082
1493.560059;0.440015
1503.130005;0.432818
1512.699951;0.43156
1522.280029;0.43372
1531.849976;0.433331
1541.420044;0.436254
1550.98999;0.43687
1560.569946;0.437276
1570.140015;0.439933
1579.709961;0.449327
1589.280029;0.445823
1598.859985;0.446468
1608.430054;0.448005
1618;0.449211
1627.569946;0.448148
1637.150024;0.439035
1646.719971;0.422183
1656.290039;0.415487
1665.859985;0.446186
1675.439941;0.454541
1685.01001;0.453506
1694.579956;0.452026
1704.150024;0.446247
1713.72998;0.450676
1723.300049;0.450101
1732.869995;0.45319
1742.439941;0.454077
1752.02002;0.457695
1761.589966;0.455656
1771.160034;0.454933
1780.72998;0.460523
1790.310059;0.450113
1799.880005;0.453954
1809.449951;0.475598
1819.02002;0
1828.599976;0
1838.170044;0
1847.73999;0
1857.310059;0
1866.890015;0
1876.459961;0
1886.030029;0
1895.599976;0
1905.180054;0
1914.75;0
1924.319946;0
1933.890015;0
1943.469971;0.419501
1953.040039;0.495161
1962.609985;0.508019
1972.180054;0.486727
1981.76001;0.472878
1991.329956;0.449398
2000.900024;0.510211
2010.469971;0.496275
2020.050049;0.509027
2029.619995;0.475471
2039.189941;0.476476
2048.76001;0.480833
2058.340088;0.480623
2067.909912;0.488643
2077.47998;0.480727
2087.050049;0.481345
2096.629883;0.480092
2106.199951;0.476196
2115.77002;0.475281
2125.340088;0.473529
2134.919922;0.485937
2144.48999;0.478036
2154.060059;0.472692
2163.629883;0.484825
2173.209961;0.467984
2182.780029;0.47169
2192.350098;0.464342
2201.919922;0.464485
2211.5;0.465355
2221.070068;0.45997
2230.639893;0.462439
2240.209961;0.461577
2249.790039;0.455173
2259.360107;0.466828
2268.929932;0.466585
2278.5;0.467797
2288.080078;0.456973
2297.649902;0.455201
2307.219971;0.435343
2316.790039;0.449293
2326.370117;0.44328
2335.939941;0.445648
2345.51001;0.450482
2355.080078;0.45199
2364.659912;0.441589
2374.22998;0.453111
2383.800049;0.459254
2393.370117;0.44982
2402.949951;0
2412.52002;0
2422.090088;0
2431.659912;0
2441.23999;0
2450.810059;0
2460.379883;0
2469.949951;0
2479.530029;0
2489.100098;0
2498.669922;0
2508.23999;0
