Run,SMC(%)
B1_1216_17422_run1,5.187631419
B2_1216_17422_run2,15.84524718
B3_1216_17422_run3,18.27623457
B5_1216_17422_run4,8.803057505
G3_1216_17422_run5,18.14984056
B6_1216_17422_run6,17.93040714
B7_1216_17422_run7,19.73029152
B9_1216_17422_run8,15.01825761
B13_1216_17422_run9,14.67512787
B14_1216_17422_run10,20.07233288
G2_1216_17422_run11,14.61883347
B4_1216_13401_run12,18.36959431
G4_1216_13401_run13,18.98307602
B11_1216_13401_run14,17.80734214
B15_1216_13401_run15,0.465094465
B8_1216_9381_run16,22.95573665
B12_1216_9381_run17,3.001240068
B16_1216_9381_run18,3.572645825
B1_1541_27136_run19,5.187631419
B17_1541_27136_run20,0.07004087
B2_1541_27136_run21,15.84524718
B5_1541_27136_run22,8.803057505
G2_1541_27136_run23,14.61883347
B6_1541_27136_run24,17.93040714
G3_1541_27136_run25,18.14984056
B9_1541_27136_run26,15.01825761
B7_1541_27136_run27,19.73029152
B13_1541_27136_run28,14.67512787
B11_1541_27136_run29,17.80734214
B14_1541_27136_run30,20.07233288
B3_1541_25183_run31,18.27623457
G4_1541_25183_run32,18.98307602
B12_1541_25183_run33,3.001240068
B15_1541_25183_run34,0.465094465
B16_1541_25183_run35,3.572645825
B4_1541_21230_run36,18.36959431
B8_1541_21230_run37,22.95573665
B1_1347_403_run38,5.187631419
B2_1347_403_run39,15.84524718
B17_1347_403_run40,0.07004087
B5_1347_403_run41,8.803057505
B6_1347_403_run42,17.93040714
B9_1347_403_run43,15.01825761
B13_1347_403_run44,14.67512787
B14_1347_403_run45,20.07233288
G2_1347_403_run46,14.61883347
G3_1347_403_run47,18.14984056
B1_0950_5246_run48,0.543618949
B2_0950_5246_run49,0.087469932
B3_0950_5246_run50,0.031926296
B4_0950_5246_run51,0.084221925
B5_0950_5246_run52,0.475511175
B6_0950_5246_run53,2.176718366
B7_0950_5246_run54,8.14501707
B8_0950_5246_run55,18.04035013
B9_0950_5246_run56,21.52929494
B10_0950_5246_run57,20.98319403
B1_1019_6227_run58,0.543618949
B2_1019_6227_run59,0.087469932
B3_1019_6227_run60,0.031926296
B4_1019_6227_run61,0.084221925
B5_1019_6227_run62,0.475511175
B6_1019_6227_run63,2.176718366
B7_1019_6227_run64,8.14501707
B8_1019_6227_run65,18.04035013
B9_1019_6227_run66,21.52929494
B10_1019_6227_run67,20.98319403
